127.0.0.1, 2012-07-10 21:47:45, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.164631
127.0.0.1, 2012-07-10 21:47:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000580
127.0.0.1, 2012-07-10 21:47:54, GET, /admin/default/edit/testGeogebraApp/static/js/applet/mainSean.js, HTTP/1.1, 200, 0.052007
127.0.0.1, 2012-07-10 21:47:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2012-07-10 21:47:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000547
127.0.0.1, 2012-07-10 21:48:02, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.165221
127.0.0.1, 2012-07-10 21:48:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000554
127.0.0.1, 2012-07-10 21:48:11, GET, /admin/default/edit/testGeogebraApp/static/geoApp.html, HTTP/1.1, 200, 0.053056
127.0.0.1, 2012-07-10 21:48:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000567
127.0.0.1, 2012-07-10 21:48:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000531
127.0.0.1, 2012-07-10 21:48:21, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.036079
127.0.0.1, 2012-07-10 21:48:25, POST, /admin/default/edit/testGeogebraApp/static/geoApp.html, HTTP/1.1, 200, 0.038677
127.0.0.1, 2012-07-10 21:48:27, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.174135
127.0.0.1, 2012-07-10 21:48:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000684
127.0.0.1, 2012-07-10 21:48:46, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.045198
127.0.0.1, 2012-07-10 21:48:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000614
127.0.0.1, 2012-07-10 21:51:51, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.054199
127.0.0.1, 2012-07-10 21:51:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
127.0.0.1, 2012-07-10 21:51:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000509
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.032231
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/static/js/applet/mainSean.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/static/js/applet/Action.js, HTTP/1.1, 304, 0.000539
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/static/js/applet/Robot.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/static/js/applet/utilities.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2012-07-10 21:51:54, GET, /testGeogebraApp/static/js/applet/playingField.js, HTTP/1.1, 304, 0.000586
127.0.0.1, 2012-07-10 21:51:56, GET, /testGeogebraApp/static/jars/geogebra.jar, HTTP/1.1, 304, 0.000621
127.0.0.1, 2012-07-10 21:51:56, GET, /testGeogebraApp/static/jars/geogebra_main.jar, HTTP/1.1, 304, 0.003180
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_gui.jar, HTTP/1.1, 304, 0.000613
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_properties.jar, HTTP/1.1, 304, 0.000663
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_export.jar, HTTP/1.1, 304, 0.000719
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_cas.jar, HTTP/1.1, 304, 0.000621
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_algos.jar, HTTP/1.1, 304, 0.000646
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_javascript.jar, HTTP/1.1, 304, 0.000619
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/geogebra_usb.jar, HTTP/1.1, 304, 0.000596
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jlatexmath.jar, HTTP/1.1, 304, 0.000649
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jlm_greek.jar, HTTP/1.1, 304, 0.000624
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000603
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000642
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000514
127.0.0.1, 2012-07-10 21:51:57, GET, /testGeogebraApp/static/jars/jython.jar, HTTP/1.1, 304, 0.000614
127.0.0.1, 2012-07-10 21:52:01, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000537
127.0.0.1, 2012-07-10 21:52:01, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000648
127.0.0.1, 2012-07-10 21:52:01, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000519
127.0.0.1, 2012-07-10 21:52:01, GET, /testGeogebraApp/static/jars/gnu/trove/THashMap.class, HTTP/1.1, 404, 0.000564
127.0.0.1, 2012-07-10 21:52:07, GET, /testGeogebraApp/static/jars/org/scilab/forge/jlatexmath/cyrillic/CyrillicRegistration.class, HTTP/1.1, 404, 0.000559
127.0.0.1, 2012-07-10 21:53:28, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.058222
127.0.0.1, 2012-07-10 21:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000539
127.0.0.1, 2012-07-10 21:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2012-07-10 21:53:31, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.044443
127.0.0.1, 2012-07-10 21:53:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2012-07-10 21:53:34, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.166361
127.0.0.1, 2012-07-10 21:53:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 21:53:47, GET, /admin/default/edit/testGeogebraApp/static/geoApp.html, HTTP/1.1, 200, 0.054129
127.0.0.1, 2012-07-10 21:53:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2012-07-10 21:53:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000457
127.0.0.1, 2012-07-10 21:53:57, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.037206
127.0.0.1, 2012-07-10 21:54:11, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.167595
127.0.0.1, 2012-07-10 21:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2012-07-10 21:54:23, GET, /testGeogebraApp/static/js/applet/Action.js, HTTP/1.1, 304, 0.000765
127.0.0.1, 2012-07-10 21:54:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000538
127.0.0.1, 2012-07-10 21:54:31, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.163615
127.0.0.1, 2012-07-10 21:54:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2012-07-10 21:54:38, GET, /testGeogebraApp/static/js/applet/Robot.js, HTTP/1.1, 304, 0.000737
127.0.0.1, 2012-07-10 21:54:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2012-07-10 21:54:42, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.194817
127.0.0.1, 2012-07-10 21:54:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000538
127.0.0.1, 2012-07-10 22:39:45, POST, /admin/default/upload_file, HTTP/1.1, 303, 0.045756
127.0.0.1, 2012-07-10 22:39:45, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.177596
127.0.0.1, 2012-07-10 22:39:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000575
